手続名称,書類正式名称,担当課,担当係,場所,用途,留意事項,電話番号,URL,電子申請
移送費の支給,国民健康保険移送費支給申請書,国保年金課,こくほ給付係,本庁舎3階,医師の指示により、一時的・緊急的な必要があって移送された場合にその費用について世帯主が区に請求する手続き,意見書、領収書が必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/isohi.html,
国民健康保険一部負担金（減額・免除・徴収猶予）申請,国民健康保険一部負担金（減額・免除・徴収猶予）申請書,国保年金課,こくほ給付係,本庁舎3階,一部負担金の支払い義務を負う世帯主が死亡や心身に障害を負う等の理由により、一時的に生活が困難になり、一部負担金の徴収の猶予や減免を行う必要があるときに、一部負担金の徴収の猶予や減免を行う。,医療費の見積書、被災証明書（災害時のみ）が必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/kokuhoitibuhutanyuyo.html,
東日本大震災の被災者に係る練馬区国民健康保険一部負担金の免除,国民健康保険一部負担金免除申請書,国保年金課,こくほ給付係,本庁舎3階,東日本大震災の被災者で練馬区国民健康保険の被保険者となった者の一部負担金を免除する。,被災証明書が必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/kokuhoitibuhutanyuyo.html,
資格取得届,国民健康保険異動届,国保年金課,こくほ資格係,本庁舎3階,資格取得の手続をした被保険者に、被保険者証を交付する手続,健康保険資格喪失証明書、本人確認書類、個人番号確認書類が必要,(03)5984-4594,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kanyu/tetsuzuki.html,
国民健康保険限度額適用認定証交付申請,国民健康保険限度額適用認定申請書,国保年金課,こくほ給付係,本庁舎3階,医療機関へ提示することで、一部負担金が自己負担限度額までとなる証を申請により交付する,被保険者証の写しが必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/madoguchi.html,
国民健康保険高額療養費支給申請,国民健康保険高額療養費支給申請書,国保年金課,こくほ給付係,本庁舎3階,月ごとの医療費自己負担額が限度額超えた場合、申請により超過分を支給する,,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/kogaku_shikyu.html,
出産育児一時金の支給申請,国民健康保険出産育児一時金支給申請書兼請求書,国保年金課,こくほ給付係,本庁舎3階,国保加入者が出産された際に、出産育児一時金として４２万円請求する手続き,出産時の領収書、直接支払制度の合意文書、母子健康手帳が必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/shussan_shikyu.html,
国民健康保険葬祭費の支給申請,国民健康保険葬祭費支給申請書兼請求書,国保年金課,こくほ給付係,本庁舎3階,国保加入者が亡くなられた際に、喪主が葬祭費として７万円請求する手続き,葬儀の領収書・会葬礼状が必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/sosaihi.html,
国民健康保険特定疾病療養受療証の交付申請,国民健康保険特定疾病認定申請書,国保年金課,こくほ給付係,本庁舎3階,指定の疾病に該当する被保険者が、医療機関へ提示することで一部負担金が1万円または2万円までとなる証を申請により交付する,被保険者証の写しが必要,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/tokuteishitsubyo.html,
被保険者証、高齢受給者証再交付申請,国民健康保険被保険者証・高齢受給者証再交付申請書,国保年金課,こくほ資格係,本庁舎3階,再交付の手続をした被保険者に、被保険者証や高齢受給者証を再交付する手続,本人確認書類,(03)5984-4594,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kanyu/hokensho_saikofu.html,
国民健康保険料の減免,国民健康保険料徴収猶予および減額・免除申請書,国保年金課,こくほ資格係,本庁舎3階,減免申請をした世帯の世帯主に、保険料の減免を行う手続,罹災証明書、収入の証明,(03)5984-4554,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/haraenai.html,
療養費の支給,国民健康保険療養費支給申請書,国保年金課,こくほ給付係,本庁舎3階,やむを得ず保険証を提示できない等により、医療機関で10割負担した際に、世帯主または代理人が区に保険負担分について請求する手続き,"診療報酬明細書が必要
領収書",(03)5984-4553,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinsei.html,
後期高齢者医療保険料支払済額証明書,様式なし,国保年金課,後期高齢者保険料係,本庁舎2階,支払済額証明書（確定申告用、無料）を発行する。,,(03)5984-4588,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/hokenryo.html,
後期高齢者医療保険料納入済額証明書,練馬区後期高齢者医療保険料納入済額証明書交付申請書,国保年金課,後期高齢者保険料係,本庁舎2階,納付証明書（金融機関融資用、有料）を発行する。,,(03)5984-4588,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/hokenryo.html,
限度額適用・標準負担額減額認定の申請,後期高齢者医療限度額適用・標準負担額減額認定申請書,国保年金課,後期高齢者資格係,本庁舎2階,世帯全員が住民税非課税の場合に、窓口での保険適用の医療費の自己負担限度額を一定額以下とし入院時の食費の自己負担額を一定額以下とするための認定を受ける申請,"マイナンバーカード等、マイナンバーが確認できる書類の写しが必要
被保険者証や運転免許証等、身元確認ができる書類の写し",(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseininteisyo.html,
限度額認定の申請,後期高齢者医療限度額適用認定申請書,国保年金課,後期高齢者資格係,本庁舎2階,同じ世帯の後期高齢者医療被保険者全員の住民税課税所得が一定額未満の場合に、窓口での保険適用の医療費の自己負担額の上限を一定額にするための申請,"マイナンバーカード等、マイナンバーが確認できる書類の写しが必要
被保険者証や運転免許証等、身元確認ができる書類の写し",(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseininteisyo.html,
高額療養費支給申請,後期高齢者医療高額療養費支給申請書,国保年金課,後期高齢者資格係,本庁舎2階,医療費の一月間の自己負担額が著しく高額となり、一定の金額（自己負担限度額）を超えた場合、超えた部分に相当する金額の支給を受けようとするときの申請,"申請者の本人確認書類の写しが必要
被保険者本人のマイナンバー確認書類の写し",(03)5984-4587,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/kogaku_shikyu.html,
被保険者証、特定疾病療養受療証、限度額適用・標準負担額減額認定証および限度額認定証の再交付申請,後期高齢者医療再交付申請書,国保年金課,後期高齢者資格係,本庁舎2階,被保険者証、特定疾病療養受療証、限度額適用・標準負担額減額認定証または限度額認定証を汚損または紛失した場合にはその再交付を申請しなければならない。,本人確認書類が必要,(03)5984-4587,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/saikoufu.html,
障害認定の申請,後期高齢者医療障害認定申請書及び資格取得(変更・喪失)届書,国保年金課,後期高齢者資格係,本庁舎2階,65歳以上75歳未満の者であって一定の障害の程度にあるものは、後期高齢者医療広域連合（以下「広域連合」という。）に申請し、被保険者となることができる。また申請の撤回をすることができる。,身体障害者手帳、精神障害者保健福祉手帳、愛の手帳（療育手帳）または国民年金の年金証書の写しが必要,(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseisyougainintei.html,
障害不該当の届出,後期高齢者医療障害認定申請書及び資格取得(変更・喪失)届書,国保年金課,後期高齢者資格係,本庁舎2階,障害認定を受けた者が障害にあたらない状態になった場合の届出,本人確認書類が必要,(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseisyougainintei.html,
食事差額支給申請,後期高齢者医療食事療養差額支給申請書,国保年金課,後期高齢者資格係,本庁舎2階,やむを得ない事情により、限度額適用・標準負担額減額認定証を保険医療機関に提出しなかったため、被保険者が減額されないまま食事療養標準負担額を支払った場合に、減額があった場合との差額分の支給を受けようとするときの申請,領収書,(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseisyokuji.html,
特定疾病認定の申請,後期高齢者医療特定疾病認定申請書,国保年金課,後期高齢者資格係,本庁舎2階,人工透析が必要な慢性腎不全などの高額な治療を長期間継続して受ける必要がある疾病にり患している場合に一部負担金の上限を一定額にするために行う申請,"【初めて申請する場合】
・後期高齢者医療特定疾病認定のための医師の意見書
・後期高齢者医療被保険者証
【継続申請】
・後期高齢者医療制度加入前保険の保険証の写し
・後期高齢者医療制度加入前保険の「特定疾病療養受領証」の写し
・後期高齢者医療被保険者証",(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseitokutei.html,
後期高齢者医療被保険者葬祭費等支給申請,後期高齢者医療被保険者葬祭費等支給申請書,国保年金課,後期高齢者資格係,本庁舎2階,死亡した被保険者の葬儀を執り行う者が、葬祭費および葬祭給付金の支給を受けようとするときの申請,会葬礼状または葬儀費用の領収書が必要,(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseisousaihi.html,
負担区分等証明書交付申請,後期高齢者医療負担区分等証明書交付申請書,国保年金課,後期高齢者資格係,本庁舎2階,被保険者または被保険者であった者が東京都広域連合の被保険者でなくなる際に従前の負担区分等の証明書の交付を受けようとするときの申請,,(03)5984-4587,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/seido.html,
後期高齢者医療保険料の簡易申告書,後期高齢者医療保険料に関する申告書（簡易申告書）,国保年金課,後期高齢者保険料係,本庁舎2階,所得等申告をされてない被保険者および世帯主が提出する（主に収入が無い方）。,,(03)5984-4588,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/hokenryo.html,
移送費支給申請,後期高齢者医療療養費支給申請書,国保年金課,後期高齢者資格係,本庁舎2階,負傷、疾病等により、移動が困難な被保険者が医師の指示により一時的、緊急的な必要性があって移送された場合に移送費の支給を受けようとするときの申請,"・経路等内訳がわかる領収書
・移送を必要とする医師の意見書
が必要",(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseiisouhi.html,
一部負担金差額支給申請,後期高齢者医療療養費支給申請書,国保年金課,後期高齢者資格係,本庁舎2階,被保険者が、一部負担金の割合が３割から１割に変更になったにも関わらず、３割分の一部負担金を保険医療機関等に支払った場合、その差額分の支給を受けようとするときの申請,本人確認書類が必要,(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseiryouyouhi.html,
療養費支給申請,後期高齢者医療療養費支給申請書,国保年金課,後期高齢者資格係,本庁舎2階,やむを得ない事情により、被保険者が保険医療機関等で医療費の全額を支払ったとき、その支払った分から一部負担金相当額を除いた一定額の支給を受けようとするときの申請,"【共通】
・本人確認書類
【補装具】
・治療用装具を必要とする意見書（診断書）、証明書
・内訳等の内容がわかる領収書
・靴型装具の写真（靴型装具の場合のみ必要）
【保険証を待たずに診療を受けた】
・診療報酬明細書と同様の内容がわかる書類
・領収書
【骨折や捻挫等で柔道整復師の施術を受けたとき】
・施術料金領収書
【医師が必要と認めるはり・きゅう・あん摩・マッサージの施術を受けたとき】
・施術料金領収書
・医師の同意書
【輸血のため生血の費用を負担したとき】
・医師の証明書
・領収書",(03)5984-4587,https://www.city.nerima.tokyo.jp/dl/nenkinhoken/shinseiryouyouhi.html,
高額介護合算療養費支給申請,高額介護合算療養費等支給申請書兼自己負担額証明書交付申請書,国保年金課,後期高齢者資格係,本庁舎2階,世帯で１年間に支払った後期高齢者医療制度の一部負担金等の額と介護保険の利用者負担額の合算額が世帯の算定基準額を超えるときに後期高齢者医療制度と介護保険それぞれの制度から超過額の支給を受けようとするときの申請,"・申請者の本人確認書類の写し
・被保険者本人のマイナンバー確認書類の写し",(03)5984-4587,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/kaigogassan.html,
国民健康保険高額介護合算療養費支給申請,高額介護合算療養費等支給申請書兼自己負担額証明書交付申請書,国保年金課,こくほ給付係,本庁舎3階,医療保険と介護保険の年間の通算自己負担額が限度額超えた場合、申請により超過分を支給する,,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/gassan.html,
高額療養費（外来年間合算）支給申請,高額療養費(外来年間合算)支給申請書兼自己負担額証明書交付申請書,国保年金課,後期高齢者資格係,本庁舎2階,医療費のうち1年間の外来療養に係る自己負担額が著しく高額となり、一定の金額（自己負担限度額）を超えた場合、超えた部分に相当する金額の支給を受けようとするときの申請,"・申請者の本人確認書類の写し
・被保険者本人のマイナンバー確認書類の写し",(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/kougakur.html,
資格喪失届,国民健康保険異動届,国保年金課,こくほ資格係,本庁舎3階,国民健康保険の適用除外要件に該当した際に、資格喪失の旨を届け出る手続,保険証、本人確認書類、個人番号確認書類が必要,(03)5984-4594,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kanyu/dattai.html,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kanyu/densisinsei_dattai.html
国民健康保険高額療養費（外来年間合算）支給申請,国民健康保険高額療養費(外来年間合算)支給申請書兼自己負担額証明書交付申請書,国保年金課,こくほ給付係,本庁舎3階,年間の通算医療費自己負担額が限度額超えた場合、申請により超過分を支給する,,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/nennkangairai.html,
国民年金死亡一時金請求書,国民年金死亡一時金請求書,国保年金課,国民年金係,本庁舎3階,3年以上国民年金の保険料を納付した者が、基礎年金を受けずに死亡したときに、遺族が請求する手続き,死亡者の年金手帳、死亡日を明らかにできる戸籍抄本等、死亡者と請求者との身分を明らかにできる戸籍謄本等、死亡者と請求者が生計を同一にしていたことが明らかにできる書類（住民票等）,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
国民年金被保険者関係届書(申出書),国民年金被保険者関係届書(申出書),国保年金課,国民年金係,本庁舎3階,厚生年金の喪失者や海外から帰国した者が、国民年金に加入する等の手続き,"※手続きによって異なる
（退職日が分かる退職証明書等、障害年金証書、生活保護受給証明書、母子健康手帳等）",(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
国民年金保険料学生納付特例申請書,国民年金保険料学生納付特例申請書,国保年金課,国民年金係,本庁舎3階,大学(院)・専門学校等に在学中で、本人の審査対象所得が基準以下である学生が、保険料の納付の猶予を申請する手続き,"※場合によって異なる
（学生証、雇用保険の離職票等）",(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/nenkin_hokenryo/taino.html,
国民年金保険料免除・納付猶予申請書,国民年金保険料免除・納付猶予申請書,国保年金課,国民年金係,本庁舎3階,経済的理由等により国民年金保険料の納付が困難である者が、免除や納付猶予を申請する手続き,"※場合によって異なる
（雇用保険の離職票等）",(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/nenkin_hokenryo/menjo.html,
特別障害給付金請求書,特別障害給付金請求書,国保年金課,国民年金係,本庁舎3階,国民年金に任意加入していなかったため障害基礎年金等を受給できない障害者が、特別障害給付金を請求する手続き,※場合によって異なる（診断書、初診日の証明書等）,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
国民健康保険料の減額,特例対象被保険者等に係る国民健康保険料の減額届出書,国保年金課,こくほ資格係,本庁舎3階,非自発的失業による退職であった場合に、国民健康保険料の減額を申請する手続,雇用保険受給資格者証、保険証,(03)5984-4554,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/kokuho_hijihatu.html,
年金請求書(国民年金遺族基礎年金),年金請求書(国民年金遺族基礎年金),国保年金課,国民年金係,本庁舎3階,国民年金被保険者または老齢基礎年金の受給資格期間を満たした者が死亡したときに、死亡者によって生計を維持されていた子のある配偶者または子が請求する手続き,※場合によって異なる（年金証書、請求者名義の通帳等コピー、請求者の戸籍謄本、生計同一申立書、死亡診断書、請求者の課税証明書等）,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
年金請求書(国民年金寡婦年金),年金請求書(国民年金寡婦年金),国保年金課,国民年金係,本庁舎3階,第1号被保険者としての国民年金保険料納付済期間等が10年以上ある夫が年金を受けずに死亡した場合に、連続して10年以上の婚姻関係があった妻が請求する手続き,※場合によって異なる（年金証書、請求者名義の通帳等コピー、請求者の戸籍謄本、生計同一申立書）,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
年金請求書(国民年金障害基礎年金),年金請求書(国民年金障害基礎年金),国保年金課,国民年金係,本庁舎3階,国民年金の被保険者期間中または20歳前もしくは60歳から65歳までの間に初診日がある病気やけがで障害の状態となった者が、障害基礎年金を請求する手続き,※場合によって異なる（診断書、初診日の証明書、第三者証明等）,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
年金請求書(国民年金保険老齢給付),年金請求書(国民年金保険老齢給付),国保年金課,国民年金係,本庁舎3階,保険料を納めた期間と免除された期間および合算対象期間を合わせて原則10年以上ある者が、老齢基礎年金を請求する手続き,※場合によって異なる（請求者名義の通帳等コピー、請求者の戸籍謄本、等）,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
未支給年金・未支払給付金請求書,未支給年金・未支払給付金請求書,国保年金課,国民年金係,本庁舎3階,年金等を受けている者が死亡したとき、死亡者について未支給の年金を、遺族が請求する手続き,年金証書、請求者名義の通帳等コピー、住民票、請求者の戸籍謄本、生計同一申立書等,(03)5984-4561,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminnenkin/nenkin_tetsuzuki/yoshikisyu.html,
新型コロナウイルス感染症に係る傷病手当金の支給申請,新型コロナウイルス感染症に係る国民健康保険給傷病手当金支給申請書,国保年金課,こくほ給付係,本庁舎3階,新型コロナウイルス感染症による療養のため労務不能となった場合、その期間中の給与の3分の2相当の金額を支給する,,(03)5984-4553,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_kyufu/sinngatakoronasyobyo.html,
家屋修繕等小規模工事に係る業者紹介申込,家屋修繕等小規模工事相談受付票,経済課,中小企業振興係,本庁舎9階,家屋修繕等小規模工事に関し、業者紹介を希望する区民からの申し込み手続き,,(03)5984-1483,https://www.city.nerima.tokyo.jp/kurashi/sumai/takuchi/shokai.html,
ねり丸デザイン使用申請,練馬区公式アニメキャラクター「ねり丸」デザイン等（非）販売目的使用許諾申請書,商工観光課,観光係,本庁舎9階,練馬区公式アニメキャラクター「ねり丸」のデザインに係る使用申請,,(03)5984-1032,https://www.city.nerima.tokyo.jp/kankomoyoshi/nerimaru.html#cmsB867D,
ねり丸デザイン使用報告,練馬区公式アニメキャラクター「ねり丸」デザイン等(非)販売目的使用報告書,商工観光課,観光係,本庁舎9階,練馬区公式アニメキャラクター「ねり丸」のデザインに係る使用報告,,(03)5984-1032,https://www.city.nerima.tokyo.jp/kankomoyoshi/nerimaru.html#cmsB867D,
区民農園の利用申込,練馬区立区民農園　利用申込書,都市農業課,都市農業係,本庁舎9階,区民農園の利用者を公募し、利用予定者を決定する。,,(03)5984-1398,https://www.city.nerima.tokyo.jp/kankomoyoshi/nogyo/hureai/kumin_nouen.html,
発掘届,埋蔵文化財発掘の届出について,文化・生涯学習課,伝統文化係,本庁舎8階,埋蔵文化財包蔵地内で地面を掘るときに都教育長あてにする届出を区で受付,位置図、配置図、断面図が必要,(03)5984-2442,https://www.city.nerima.tokyo.jp/dl/machi/jigyo/hakkutsutodoke.html,
練馬区武蔵大学特別履修生制度の参加申込,練馬区武蔵大学特別履修生申込書,,生涯学習センター,豊玉北6-8-1,武蔵大学特別履修生制度の履修希望申込,証明写真が必要,(03)3991-1667,https://www.city.nerima.tokyo.jp/kankomoyoshi/bunka/kominkan/moyooshi/20200211.html,
避難行動要支援者名簿（旧災害時要援護者名簿）登録,"外部提供確認通知
避難行動要支援者名簿登録票
登録解除申請書",福祉部管理課,福祉防災・システム係,西庁舎3階,区が作成する避難行動要支援者名簿（旧災害時要援護者名簿）に登録、または登録解除する旨を届け出る手続,,(03)5984-1337,https://www.city.nerima.tokyo.jp/hokenfukushi/chiikifukushi/saigaiji.html,
練馬区成年後見人等報酬費用の助成申請,成年後見人等報酬費用助成申請書（第1号様式）,福祉部管理課,地域福祉係,西庁舎3階,成年後見人等に対する報酬費用の助成申請を区へ行う。,"・成年後見人等報酬費用助成申請書
・報酬付与審判書（写）
・被後見人等の財産目録
・登記事項証明書（写）
等",(03)5984-2716,https://www.city.nerima.tokyo.jp/hokenfukushi/chiikifukushi/kenriyougo/seinennkoukenn.html,
練馬区成年後見人等報酬費用の助成金請求,成年後見人等報酬費用助成金請求書（第4号様式）,福祉部管理課,地域福祉係,西庁舎3階,成年後見人等に対する報酬費用の助成申請において、決定した助成金額の請求を区へ行う。,,(03)5984-2716,https://www.city.nerima.tokyo.jp/hokenfukushi/chiikifukushi/kenriyougo/seinennkoukenn.html,
"練馬区保健福祉サービス苦情調整委員への苦情申立て
",苦情申立書(第 9 号様式),,練馬区保健福祉サービス苦情調整委員事務局,西庁舎3階,保健福祉サービスに関する苦情等について、練馬区保健福祉サービス苦情調整委員へ申立てを行う。,,(03)3993-1344,https://www.city.nerima.tokyo.jp/hokenfukushi/chiikifukushi/kujochosei/index.html,
原爆被爆者見舞金の新規受付,原爆被爆者見舞金申請書,障害者施策推進課,管理係,西庁舎1階;各区民事務所,原爆被爆者手帳をお持ちの方が区内に転入した際に見舞金を受給するために届け出る手続き（希望者のみ）,原爆被爆者見舞金支給申請書,(03)5984-4598,https://www.city.nerima.tokyo.jp/kurashi/jinken/senso/mimaikin.html,
企業実習奨励金　申請,"@練馬区障害者企業実習奨励金支給申請書兼請求書
A練馬区立障害者奨励金実習報告書",障害者施策推進課,就労支援係,西庁舎1階;各区民事務所,企業実習後、奨励金を受給するための申請,"@個別支援計画書
A出勤簿の写しまたは実習を行った日数および時間を確認できる書類
B支払金口座振替依頼書",(03)5984-1387,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/teate/shoreikin.html,
誓約書等の提出,"承諾書兼誓約書
誓約書",障害者施策推進課,就労調整担当係,西庁舎1階;各区民事務所,承諾書兼誓約書および誓約書の提出,"承諾書兼誓約書
誓約書",(03)5984-1250,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/manabi/syokubataiken.html,
心身障害者医療費助成の決定,マル障医療助成費支給申請書,障害者サービス調整担当課,障害調整係,西庁舎1階;各区民事務所,心身障害者医療費助成制度を利用したい区民が区を通して東京都に申請する。,領収書,(03)5984-1456,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/iryo/josei.html,
こども発達支援センター障害児一時預かり事業利用仮予約,様式なし,,こども発達支援センター,光が丘3-1-1,障害児一時預かり事業の利用仮予約手続き,,(03)3975-6251,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/shisetsu/kodomohattatu/itiziazukari-nanairo.html,
こども発達支援センター障害児一時預かり事業利用登録,練馬区立こども発達支援センター障害児一時預かり事業利用登録申請書,,こども発達支援センター,光が丘3-1-1,障害児一時預かり事業の利用登録手続き,,(03)3975-6251,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/shisetsu/kodomohattatu/itiziazukari-nanairo.html,
こども発達支援センター障害児一時預かり事業利用申請,練馬区立こども発達支援センター障害児一時預かり事業利用申請書,,こども発達支援センター,光が丘3-1-1,障害児一時預かり事業の利用申請手続き,,(03)3975-6251,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/shisetsu/kodomohattatu/itiziazukari-nanairo.html,
こども発達支援センター障害児一時預かり事業利用変更申請,練馬区立こども発達支援センター障害児一時預かり事業利用変更申請書,,こども発達支援センター,光が丘3-1-1,障害児一時預かり事業の利用変更申請手続き,,(03)3975-6251,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/shisetsu/kodomohattatu/itiziazukari-nanairo.html,
こども発達支援センター障害児一時預かり事業利用登録更新,様式なし,,こども発達支援センター,光が丘3-1-1,障害児一時預かり事業の利用登録更新手続き,,(03)3975-6251,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/shisetsu/kodomohattatu/itiziazukari-nanairo.html,
生活困窮者住居確保給付金支給申請等,委任状,生活福祉課,自立促進支援係,東庁舎7階,住居確保給付金に係る支給申請書、支給申請書（期間（再）延長）、変更支給申請書および各種届の提出,"@住居確保給付金申請書類
A本人確認書類
B収入関係書類
C金融資産関係書類
D入居住宅関係書類
E離職もしくは減収関係書類",(03)5984-4698,https://www.city.nerima.tokyo.jp/kurashi/jinken/komatta/jyukyokakuhokyuhukin.html,
生活困窮者住居確保給付金支給申請等,相談受付・申込票,生活福祉課,自立促進支援係,東庁舎7階,住居確保給付金に係る支給申請書、支給申請書（期間（再）延長）、変更支給申請書および各種届の提出,"@住居確保給付金申請書類
A本人確認書類
B収入関係書類
C金融資産関係書類
D入居住宅関係書類
E離職もしくは減収関係書類",(03)5984-4698,https://www.city.nerima.tokyo.jp/kurashi/jinken/komatta/jyukyokakuhokyuhukin.html,
生活困窮者住居確保給付金支給申請等,プラン兼事業等利用申込書,生活福祉課,自立促進支援係,東庁舎7階,住居確保給付金に係る支給申請書、支給申請書（期間（再）延長）、変更支給申請書および各種届の提出,"@住居確保給付金申請書類
A本人確認書類
B収入関係書類
C金融資産関係書類
D入居住宅関係書類
E離職もしくは減収関係書類",(03)5984-4698,https://www.city.nerima.tokyo.jp/kurashi/jinken/komatta/jyukyokakuhokyuhukin.html,
保護開始の申請,,各総合福祉事務所,相談係,,生活保護開始の申請手続き,"まずは、お住まいの地域の福祉事務所にご相談ください。相談員がお困りの事情や、ご本人やご家族の生活状況をお聞きするとともに、生活保護制度についてご説明します。
郵便番号176の地域の方：練馬総合福祉事務所　　　電話：03-5984-4742
郵便番号177の地域の方：石神井総合福祉事務所　　電話：03-5393-2802
郵便番号178の地域の方：大泉総合福祉事務所　　　電話：03-5905-5263
郵便番号179の地域の方：光が丘総合福祉事務所　　電話：03-5997-7714",,https://www.city.nerima.tokyo.jp/kurashi/jinken/komatta/hogo.html,
ひとり親家庭高等職業訓練促進等給付金の支給等,,生活福祉課,ひとり親家庭支援係,本庁舎10階,ひとり親家庭高等職業訓練促進給付金の支給等,必ず事前に管轄の総合福祉事務所相談係またはひとり親家庭支援係までご相談ください。,(03)5984-1319,https://www.city.nerima.tokyo.jp/kurashi/jinken/hitorioya/kateikotogino.html,
愛の手帳の再交付申請,愛の手帳交付（新規・更新・再交付）申請書,総合福祉事務所,障害者支援係,,愛の手帳の再交付申請,愛の手帳（紛失を除く）が必要,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/techo/ai.html,
愛の手帳の変更申請,愛の手帳交付（新規・更新・再交付）申請書,総合福祉事務所,障害者支援係,,愛の手帳の変更申請,愛の手帳が必要,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/techo/ai.html,
